match_id,date,batter,batting_team,bowling_team,venue,rolling_avg_10,venue_avg,pvt_avg,pvp_avg,career_avg,next_match_runs
501255,2011-05-14,AB de Villiers,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,27.7,30.456521739130434,23.5,0.9166666666666666,26.848484848484848,34.0
501255,2011-05-14,YK Pathan,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,21.1,21.8,22.833333333333332,3.5,24.183673469387756,29.0
501255,2011-05-14,G Gambhir,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,28.2,29.9,36.166666666666664,1.6428571428571428,28.04,54.0
501256,2011-05-14,B Chipli,Deccan Chargers,Mumbai Indians,Wankhede Stadium,14.8,5.5,6.0,0.0,15.142857142857142,5.0
501255,2011-05-14,SS Tiwary,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,16.1,16.2,26.666666666666668,0.0,20.962962962962962,6.0
501256,2011-05-14,DT Christian,Deccan Chargers,Mumbai Indians,Wankhede Stadium,12.5,10.333333333333334,21.0,0.7,14.363636363636363,14.0
501256,2011-05-14,S Dhawan,Deccan Chargers,Mumbai Indians,Wankhede Stadium,24.6,28.4,17.666666666666668,0.8888888888888888,21.05128205128205,28.0
501255,2011-05-14,M Kaif,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,9.1,8.8,27.5,0.9090909090909091,11.31578947368421,15.0
501256,2011-05-14,KC Sangakkara,Deccan Chargers,Mumbai Indians,Wankhede Stadium,31.7,15.0,47.4,0.9047619047619048,29.22222222222222,25.0
501256,2011-05-14,A Mishra,Deccan Chargers,Mumbai Indians,Wankhede Stadium,7.2,7.0,13.25,2.0,6.608695652173913,0.0
501256,2011-05-14,TL Suman,Mumbai Indians,Deccan Chargers,Wankhede Stadium,25.0,10.8,17.2,0.0,20.857142857142858,5.0
501256,2011-05-14,S Sohal,Deccan Chargers,Mumbai Indians,Wankhede Stadium,21.8,20.0,16.0,2.25,17.444444444444443,34.0
501256,2011-05-14,RG Sharma,Mumbai Indians,Deccan Chargers,Wankhede Stadium,29.1,28.883333333333333,56.0,1.0833333333333333,27.49056603773585,58.0
501255,2011-05-14,LA Pomersbach,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,20.9,16.0,17.333333333333332,1.75,21.444444444444443,29.0
501255,2011-05-14,V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,37.9,32.310344827586206,13.0,0.5,23.020833333333332,11.0
501255,2011-05-14,JH Kallis,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,25.1,24.25,40.0,1.1794871794871795,27.79245283018868,59.0
501255,2011-05-14,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,47.7,36.523809523809526,102.0,2.3076923076923075,39.72727272727273,0.0
501256,2011-05-14,AT Rayudu,Mumbai Indians,Deccan Chargers,Wankhede Stadium,28.7,19.547619047619047,22.666666666666668,0.5,28.72,2.0
501256,2011-05-14,SR Tendulkar,Mumbai Indians,Deccan Chargers,Wankhede Stadium,30.7,31.565217391304348,29.833333333333332,1.0,33.5,31.0
501256,2011-05-14,JP Duminy,Deccan Chargers,Mumbai Indians,Wankhede Stadium,17.9,23.8,24.6,0.5625,26.576923076923077,23.0
501256,2011-05-14,KA Pollard,Mumbai Indians,Deccan Chargers,Wankhede Stadium,16.2,22.38888888888889,7.333333333333333,0.14285714285714285,16.714285714285715,20.0
501257,2011-05-15,KD Karthik,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,25.0,12.666666666666666,6.0,1.25,20.76086956521739,11.0
501257,2011-05-15,AC Gilchrist,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,20.6,36.875,31.875,0.8571428571428571,25.210526315789473,106.0
501257,2011-05-15,IK Pathan,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,14.1,10.8,14.0,0.3333333333333333,16.304347826086957,42.0
501258,2011-05-15,AL Menaria,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,18.0,31.0,22.666666666666668,1.5,16.555555555555557,0.0
501257,2011-05-15,Y Nagar,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,11.1,10.0,11.0,0.3333333333333333,11.090909090909092,16.0
501257,2011-05-15,DJ Hussey,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,9.5,3.75,26.666666666666668,1.0,19.724137931034484,0.0
501257,2011-05-15,NV Ojha,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,11.2,16.5,36.0,2.0714285714285716,19.676470588235293,8.0
501258,2011-05-15,DPMD Jayawardene,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,22.3,41.0,16.333333333333332,1.5,24.170212765957448,20.0
501258,2011-05-15,PA Patel,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,17.4,24.5,25.4,0.8571428571428571,18.675675675675677,6.0
501257,2011-05-15,PC Valthaty,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,31.2,22.25,7.5,0.8666666666666667,29.384615384615383,20.0
501257,2011-05-15,RJ Harris,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,6.3,5.666666666666667,1.0,2.0,6.333333333333333,0.0
501258,2011-05-15,BJ Hodge,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,15.7,18.5,11.2,1.125,21.838709677419356,51.0
501258,2011-05-15,R Dravid,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,27.2,1.0,44.0,0.6,25.46808510638298,43.0
501257,2011-05-15,SE Marsh,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,41.1,47.714285714285715,48.5,1.5714285714285714,45.16,79.0
501257,2011-05-15,DA Warner,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,25.0,36.0,41.5,1.5714285714285714,24.862068965517242,19.0
501257,2011-05-15,Y Venugopal Rao,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,21.9,18.5,12.6,1.5,20.157894736842106,0.0
501258,2011-05-15,BB McCullum,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,27.9,30.5,6.333333333333333,2.0,26.757575757575758,33.0
501258,2011-05-15,SR Watson,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,24.1,10.5,49.0,1.5454545454545454,30.275862068965516,89.0
501258,2011-05-15,AM Rahane,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,18.0,10.666666666666666,26.764705882352942,1.75,17.333333333333332,98.0
501259,2011-05-16,RV Uthappa,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,19.9,20.545454545454547,11.285714285714286,0.5,21.48076923076923,12.0
501259,2011-05-16,DT Christian,Deccan Chargers,Pune Warriors,Dr DY Patil Sports Academy,13.9,14.0,10.0,0.9230769230769231,14.666666666666666,2.0
501259,2011-05-16,Yuvraj Singh,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,29.0,32.0,13.571428571428571,0.6666666666666666,22.528301886792452,24.0
501259,2011-05-16,SC Ganguly,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,37.7,6.0,37.0,0.3333333333333333,27.256410256410255,18.0
501259,2011-05-16,B Chipli,Deccan Chargers,Pune Warriors,Dr DY Patil Sports Academy,9.2,5.0,18.0,0.5,14.8,10.0
